,Movie,Year,IMDB,Metascore,Votes,Runtime,Director,Genre
2729,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2730,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2731,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2732,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2733,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2734,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2735,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2736,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2737,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2738,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2739,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2740,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2741,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2742,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2743,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2744,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2745,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2746,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2747,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2748,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2749,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2750,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2751,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2752,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2753,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2754,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2755,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2756,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2757,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2758,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2759,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2760,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2761,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2762,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2763,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2764,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
2765,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
2766,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
2767,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
2768,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
2769,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
2770,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
2771,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
2772,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
2773,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
2774,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
2775,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
2776,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2777,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2778,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2779,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2780,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2781,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2782,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2783,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2784,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2785,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2786,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2787,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2788,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2789,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2790,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2791,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2792,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2793,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2794,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2795,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2796,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2797,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2798,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2799,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2800,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2801,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2802,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2803,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2804,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2805,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2806,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2807,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2808,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2809,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2810,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2811,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
2812,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
2813,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
2814,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
2815,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
2816,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
2817,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
2818,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
2819,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
2820,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
2821,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
2822,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
2823,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2824,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2825,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2826,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2827,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2828,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2829,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2830,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2831,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2832,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2833,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2834,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2835,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2836,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2837,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2838,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2839,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2840,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2841,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2842,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2843,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2844,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2845,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2846,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2847,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2848,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2849,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2850,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2851,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2852,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2853,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2854,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2855,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2856,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2857,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2858,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
2859,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
2860,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
2861,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
2862,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
2863,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
2864,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
2865,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
2866,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
2867,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
2868,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
2869,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
2870,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2871,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2872,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2873,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2874,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2875,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2876,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2877,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2878,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2879,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2880,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2881,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2882,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2883,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2884,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2885,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2886,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2887,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2888,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2889,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2890,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2891,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2892,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2893,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2894,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2895,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2896,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2897,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2898,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2899,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2900,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2901,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2902,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2903,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2904,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2905,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
2906,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
2907,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
2908,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
2909,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
2910,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
2911,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
2912,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
2913,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
2914,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
2915,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
2916,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
2917,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2918,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2919,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2920,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2921,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2922,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2923,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2924,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2925,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2926,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2927,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2928,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2929,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2930,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2931,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2932,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2933,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2934,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2935,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2936,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2937,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2938,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2939,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2940,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2941,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2942,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2943,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2944,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2945,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2946,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2947,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2948,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2949,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2950,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2951,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2952,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
2953,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
2954,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
2955,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
2956,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
2957,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
2958,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
2959,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
2960,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
2961,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
2962,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
2963,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
2964,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
2965,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
2966,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
2967,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
2968,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
2969,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
2970,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
2971,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
2972,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
2973,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
2974,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
2975,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
2976,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
2977,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
2978,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
2979,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
2980,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
2981,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
2982,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
2983,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
2984,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
2985,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
2986,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
2987,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
2988,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
2989,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
2990,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
2991,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
2992,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
2993,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
2994,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
2995,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
2996,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
2997,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
2998,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
2999,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
3000,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
3001,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
3002,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
3003,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
3004,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
